State,Mass shootings,Population,,,,
New Hampshire,0,1317474,,,,
Hawaii,1,1362730,,,,
North Dakota,1,676253,,,,
Vermont,1,625498,,,,
Wyoming,1,562803,,,,
Montana,2,990785,,,,
Idaho,3,1567803,,,,
South Dakota,3,815711,,,,
Alaska,4,711139,,,,
Maine,4,1329084,,,,
Nebraska,4,1827306,,,,
West Virginia,4,1850481,,,,
Delaware,7,900131,,,,
Rhode Island,7,1052471,,,,
Iowa,7,3047626,,,,
Utah,8,2766233,,,,
State,Mass shootings,Population,,,,
Arkansas,11,2916372,,,,
Oregon,11,3836628,,,,
New Mexico,14,2055287,,,,
Massachusetts,15,6560595,,,,
Nevada,17,2704204,,,,
Connecticut,18,3572213,,,,
Wisconsin,18,5687219,,,,
Kansas,20,2851183,,,,
Colorado,21,5042853,,,,
Minnesota,24,5313081,,,,
Oklahoma,25,3749005,,,,
Washington,26,6738714,,,,
District of Columbia,27,605759,,,,
Arizona,28,6410979,,,,
Kentucky,30,4340167,,,,
Mississippi,34,2967620,,,,
Maryland,42,5785496,,,,
Alabama,45,4777326,,,,
South Carolina,51,4630351,,,,
Indiana,52,6485530,,,,4
Virginia,52,8014955,,,,
New Jersey,55,8793888,,,,
Missouri,62,5982413,,,,
Michigan,71,9897264,,,,
North Carolina,74,9544249,,,,
Tennessee,76,6353226,,,,
Ohio,79,11533561,,,,
Pennsylvania,80,12699589,,,,
Louisiana,81,4529605,,,,
New York,87,19398125,,,,
Georgia,91,9714569,,,,
Texas,141,25208897,,,,
Florida,147,18885152,,,,
Illinois,186,12823860,,,,
California,234,37325068,,,,
